# name	prop	strategy	detail	sha256(script)
circle	1	direct-fallback		f2d3815dce6e6306aa2059b2557a9bae03324d1d8551bafa7c4b211156c8e5f9
clamp	0	lemma-free		29c2696a4abf4087896e6d44e46a1f395335a8fa622d167eda118608f7494664
clamp	0	direct		a68082f00e7d89e285d8c7b7af73f87b5fb71e1f34b20b41829890c6ee6329aa
clamp	0	direct-fallback		a68082f00e7d89e285d8c7b7af73f87b5fb71e1f34b20b41829890c6ee6329aa
clamp	1	lemma-free		a5aeb0125415f4025aa93888c048847cceb4c3247cf0984f99f76b33d3ce4730
clamp	1	direct		78ab6eea062e90c0295a6d8219309d8e5f4b870e07552edac79b484e131de6cb
clamp	1	direct-fallback		78ab6eea062e90c0295a6d8219309d8e5f4b870e07552edac79b484e131de6cb
clamp	2	lemma-free		dcffd933f480bdb7f3d00742300a62ecaec51f7d0809ab718bd61f0111dcc9d2
clamp	2	direct		62f85ac11dab81326d364ffcc74b3bb1485dd1476ce8b278d4b903179559f6be
clamp	2	direct-fallback		62f85ac11dab81326d364ffcc74b3bb1485dd1476ce8b278d4b903179559f6be
commute	0	lemma-free		939566c444807add464ed505f1411204e401f708ce504c77b695c6d00353dd55
commute	0	direct		939566c444807add464ed505f1411204e401f708ce504c77b695c6d00353dd55
commute	0	induction	binder 0 ctor 0	04a83a9ba9ca657a3da44a5cea86d8f858d9811d9b61d7e7a49aada7bb9020b7
commute	0	induction	binder 0 ctor 1	f594ef65dda2020b3711b3025e13bf29598ebefa35a4585bff40e04c444f105a
commute	0	induction	binder 0 ctor 2	89cdc5afc9a32da11c9b227ff9f63d820ec65c2778fb8d5d6934e73e2046c81e
commute	0	direct-fallback		939566c444807add464ed505f1411204e401f708ce504c77b695c6d00353dd55
config-has-key	0	lemma-free		4c1ac1810f3742580f8a4f883cd6cb16121b41b744d783aa83ca4ccc81d529ba
config-has-key	0	direct		3ca8300a20c38ca306130e875245ccc8f4d883fce93e6c7d73104e3115083bc2
config-has-key	0	induction	binder 0 ctor 0	80b31cde096b42552a29e1890a6b122ee56d893681cb89967fd63262b36dff6c
config-has-key	0	induction	binder 0 ctor 1	67f8200deda177e24de51de8ae97bf63a8187d083026f7a8d713fec48d5add3c
config-has-key	0	direct-fallback		3ca8300a20c38ca306130e875245ccc8f4d883fce93e6c7d73104e3115083bc2
config-has-key	1	lemma-free		b7e87d8f520d7d685a81193aee451257de05f5fd2663df34493857346d4228e1
config-has-key	1	direct		fc48b497f433673cdc079f816cdf93d3fe2d83da7049a3fe334f95595a9a3e8b
config-has-key	1	induction	binder 0 ctor 0	ac96d23c1391fe470a09d5f05892e6e8d49d614b8773b32a5a3f36b4dd21d14b
config-has-key	1	induction	binder 0 ctor 1	9d552ff4f4a1d389bced20a8fd25a6a788d7e8938922f4c8400c2827fd9da218
config-has-key	1	induction	binder 1 ctor 0	b7d5d3db94473de5d6fcc57493dc88e4d487b43e3edbe47204ede00f57b40b0c
config-has-key	1	induction	binder 1 ctor 1	2f9dce4073448dc12f6e00004243156c3df0c34d8d6ca0d801d81145452fe402
config-has-key	1	lexicographic	binders 0,1 ctor 0 base	ac96d23c1391fe470a09d5f05892e6e8d49d614b8773b32a5a3f36b4dd21d14b
