name,hash,names,cls,killed,total,survived,waived,no_verdict
rot-h3,18228c2a22fac55420bad57e9c93c4dc4e9672e40fc3766e287f56b42bca378f,rot-h3,scored,9,12,3,0,1
rot-hl,e9b80a4dbecfd6de63a3aa9545330384ef1a4af54cd250000dd29b58be388c64,rot-hl,scored,9,12,3,0,1
safe-get,24800a6a905856b7146a7cca2d2dccb012ee8e24b9283eee9e5ac0c65c2af69b,safe-get,scored,1,1,0,0,0
secret-is-usable,5365b4a06be5318b3a497de3ff551947d6460883c99f6bb111ec753774425a5c,secret-is-usable,scored,5,17,12,0,0
set-add,874a3cb5d3f63c551b6e0d4365d489bf75f2528c4d79750ffd1d3b1fdd534ae1,set-add,no-mutation-points,,,,,
set-elems,a91bbcd741e2d02c1ee55c56e227f73e6a30e3fd4247fd6beaad3d2d682672b6,set-elems,no-mutation-points,,,,,
set-empty,d067aca7a83d4107c90d6aaa23befbbcc874df4ceaae0b1d984e3a5508d29efa,set-empty,no-mutation-points,,,,,
set-inter,8a059a2f7b565ec35c0791b90ee564d8d955c811af4ec9dc119a4c83c04f1dd5,set-inter,scored,0,1,1,0,0
set-member,00b50eb902ce941a92b0600f4654a1899e41fd4632ed06e55a6a07b7eb791717,set-member,no-mutation-points,,,,,
set-size,c73b49a04d37c25cd74d7925066d12b186768a6bfb80f5bd85278eb53455b768,set-size,no-mutation-points,,,,,
set-union,c2b36fe5954378a1a2a625891c8109f6ce07f1d669534c22da2f7dbc9f53d56d,set-union,scored,1,1,0,0,0
shout,1788554af98ab90ff6c471078cb9dc933fc04aff3e0583abd7ff829fb77240d2,shout,scored,0,4,4,0,0
show-int,a9472d7aa2146acc2f37afbefdd8b098fa92322d59355e243451cf547e107104,show-int,scored,4,8,4,0,0
show-nat,1d0a9ecfb0eab9baa4782839fac41b93f9490d6ac98cc04d3001555cc97e108c,show-nat,scored,1,25,24,0,3
si-insert,e3ba3eec0cbaff18df44b161661a87b9344eed6707ced3888521204d51af261d,si-insert,scored,6,6,0,0,0
si-inter,32765987195d3d2bf13db7f11a24f10203201a533ccad13b612e75b31ae269a5,si-inter,scored,0,8,8,0,0
si-member,47e842f8daf5ed6da1fb0203df5a4b5cf6078e464321f440cff08323ac5004ef,si-member,scored,0,5,5,0,0
si-union,63f8d391e13d8c3baa6a59d5e70a7a9dd27d3394e1bd61d704b3ae282b6a960a,si-union,scored,0,4,4,0,0
sign,7c0ff56ae894d5f8c7d8b3b92a2ba31a080e1feec71521aaec4e8e2b66fa5fcc,sign,scored,10,16,6,0,0
singleton,14b8a3dd9719a29e458cb3ba2c884be6523f950216e7cb68373546a4fe60ea1a,singleton,no-mutation-points,,,,,
snoc,2248e151c30adcaa8c23ce5a9ba21fc8cd53f36454b1b5afe4762c96dfc8e9a6,snoc,scored,2,2,0,0,0
sort,8ed4b7e956f376fb0f06f5a72f90e76be50ddb02da09045ea9bb8f8dafeb2760,sort,scored,2,2,0,0,0
sort-by,5179ba32bb8df3c1b966c9f3b6c0c7c14a1de369b8fccc87e33fd4361eb168f3,sort-by,scored,2,2,0,0,0
spin,086cb1f933536eadf637402bd14bed014b55818b9994a8bda60683d80036c571,spin,scored,1,1,0,0,0
spin-partial,b25520e6a37aa353213695776c17eea7d8b358fb3340a6ad91cf3173c58b23be,spin-partial,no-props,,,,,
stash,be38139f4560ebc7876943892f7e1ffb68fea23a6af95d50596a8020cc45c6a3,stash,no-props,,,,,
str-append,7d158d0455d341a46cfcc678cfd41d35db89b574dc45158746ad922b8874e3a4,str-append,scored,3,4,1,0,0
str-bytes,cc13f713e3013bc87368150870fbcfe756ebe620af961be48131b6d38767d9ca,str-bytes,scored,1,1,0,0,0
str-drop,caaaa5b2134ad2be30ca74ec4d480e6d7a8e5889c63800643ae1c89618684a3d,str-drop,scored,11,11,0,0,0
str-join,b41104b62aae86b49c4644688f01ac9e2d56c36f475b8b304b834f3804467f8b,str-join,scored,1,3,2,0,0
str-len,30df3863fbb189976a0d624ec7697a62cfaf940554ae436027eea19c4cdfbc5e,str-len,scored,1,7,6,0,1
str-prefix,48d690bda44bf44999028860eeaef6e85f237170f52bbf5cd39881b2eabd6080,str-prefix,scored,3,4,1,0,0
str-split,0292b5f64eddbe8fd710966d45408e22164a5ab419e8f3055c36c149033569cf,str-split,scored,0,3,3,0,0
